Scenario,InitialDiff,ResourceOverlap,FracRefuge,FightingDiff,MutationRate,BaseNestlSurv,NestSurvSpeciesModifier,Replicates_ALL,Replicates_NF,Replicates_nf_1K,Replicates_nf_end,Pr_Coexist,Pr_Sp1_Extinct,Pr_Sp2_Extinct,Coexistence_outcome,Mean_coexistence,dZ1_1K,dZ2_1K,dMu1_1K,dMu2_1K,dSig1_1K,dSig2_1K,dZ1Mu1_1K,dZ2Mu2_1K,dZ1Mu2_1K,dZ2Mu1_1K,Pr_Divergence_1K,Pr_Sp1diverging_1K,Pr_Sp2diverging_1K,Pr_Convergence_1K,Pr_Sp1converging_1K,Pr_Sp2converging_1K,Pr_Sp1chasing2_1K,Pr_Sp2chasing1_1K,Pr_Stasis_1K,Pr_Z1diverging_1K,Pr_Z2diverging_1K,Pr_Mu1diverging_1K,Pr_Mu2diverging_1K,Pr_Z1converging_1K,Pr_Z2converging_1K,Pr_Mu1converging_1K,Pr_Mu2converging_1K,Pr_Z1Mu2diverging_1K,Pr_Z2Mu1diverging_1K,Pr_Z2Mu1converging_1K,Pr_Z1Mu2converging_1K,Pr_Z1Z2diverging_1K,Pr_Mu1Mu2diverging_1K,Pr_Z1Z2converging_1K,Pr_Mu1Mu2converging_1K,Pr_Z1chasingMu2_1K,Pr_Z2chasingMu1_1K,Pr_Mu1chasingZ2_1K,Pr_Mu2chasingZ1_1K,Trait_outcome_1K,dZ1,dZ2,dMu1,dMu2,dSig1,dSig2,dZ1Mu1,dZ2Mu2,dZ1Mu2,dZ2Mu1,Pr_Divergence,Pr_Sp1diverging,Pr_Sp2diverging,Pr_Convergence,Pr_Sp1converging,Pr_Sp2converging,Pr_Sp1chasing2,Pr_Sp2chasing1,Pr_Stasis,Pr_Z1diverging,Pr_Z2diverging,Pr_Mu1diverging,Pr_Mu2diverging,Pr_Z1converging,Pr_Z2converging,Pr_Mu1converging,Pr_Mu2converging,Pr_Z1Mu2diverging,Pr_Z2Mu1diverging,Pr_Z2Mu1converging,Pr_Z1Mu2converging,Pr_Z1Z2diverging,Pr_Mu1Mu2diverging,Pr_Z1Z2converging,Pr_Mu1Mu2converging,Pr_Z1chasingMu2,Pr_Z2chasingMu1,Pr_Mu1chasingZ2,Pr_Mu2chasingZ1,Trait_outcome
1959,1,0.925,0.25,-15,1e-04,0.29167,0.023,14,14,12,9,0.642857142857143,0.357142857142857,0,Coexist_or_sp1_extinct,7352.57142857143,11.8005325124167,16.3719067658333,13.9476117708333,15.1813046708333,7.61186560858333,2.43569655691667,2.18064730608333,1.13239797758333,4.39989365591667,3.3516443275,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,12.40072462,17.1164792433333,14.5970178322222,15.9371743344444,8.19883860044444,2.65693597266667,2.24474331244444,1.21360447644444,4.46512139433333,3.43398255833333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1960,1,0.925,0.25,-10,1e-04,0.29167,0.023,16,16,7,4,0.25,0.75,0,Coexist_or_sp1_extinct,3730.25,10.266121581,14.3271945228571,11.8413404328571,12.8723768428571,6.65063088771429,2.02058168171429,1.63581359871429,0.920714221,3.81100896114286,3.09590958328571,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,10.8985558855,15.459333175,12.699105625,13.8299010125,7.48646374675,2.21293590525,1.7542585075,0.93197421575,4.0108773935,3.18859310175,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1961,1,0.925,0.25,-5,1e-04,0.29167,0.023,16,16,1,0,0,1,0,Sp1_extinct,607.125,2.009641911,2.414240343,1.963682558,3.022627456,0.312956194,0.125878057,0.688039064,0.009165467,1.725665759,1.046792162,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp1_extinct
1962,1,0.925,0.25,0,1e-04,0.29167,0.023,16,14,0,0,0,1,0,Sp1_extinct,32.5714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp1_extinct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp1_extinct
1963,1,0.925,0.35,-50,1e-04,0.29167,0.023,13,13,11,6,0.461538461538462,0.538461538461538,0,Coexist_or_sp1_extinct,5968.23076923077,9.45436536009091,12.9002889919091,10.6695759111818,11.9875480667273,5.70450545518182,1.66344093409091,1.63511781836364,0.912471950727273,3.39799383109091,3.09024068909091,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,11.8718646235,15.7803014331667,13.5223136925,14.5626879236667,6.01625411733333,1.93402329016667,1.9169594495,1.05052629116667,3.42540772433333,2.89911006066667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1964,1,0.925,0.35,-25,1e-04,0.29167,0.023,13,13,10,4,0.307692307692308,0.692307692307692,0,Coexist_or_sp1_extinct,5614.38461538462,9.8541834096,12.7055625305,11.0249951257,12.5325868704,6.2772190575,1.663433559,1.723080931,0.7297632547,3.4617394361,3.0110009123,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,10.383736662,12.77696845225,10.99385232575,12.63615310675,7.0665705725,1.5847377955,1.9407257575,0.68369033625,2.847458383,2.9468708425,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1965,1,0.925,0.35,-15,1e-04,0.29167,0.023,13,13,10,4,0.307692307692308,0.692307692307692,0,Coexist_or_sp1_extinct,5437.46153846154,10.3803285162,13.7989584639,11.6190302603,12.7970263473,6.2625865297,1.730371561,1.5756683877,0.8213266644,3.5669183002,3.0092933571,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,13.5234297675,17.3437036475,15.1279828775,15.8949344225,7.6404864415,2.19799573,1.8697717295,0.91008800675,3.889248208,3.058602314,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1966,1,0.925,0.35,-10,1e-04,0.29167,0.023,13,13,7,2,0.153846153846154,0.846153846153846,0,Coexist_or_sp1_extinct,3556.69230769231,8.94363069214286,11.5012968998571,9.98739885057143,10.6031426525714,4.51046908828571,1.10884380328571,1.18146207885714,0.783742159428572,2.82928417842857,2.43156425914286,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2,12.9576359,16.292096435,14.67455716,14.598826,5.696604077,1.757026411,1.755554816,1.0778625735,3.1499582055,2.4722659635,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp1chasing2
1967,1,0.925,0.35,-5,1e-04,0.29167,0.023,13,13,2,0,0,1,0,Sp1_extinct,717.461538461538,0.883051265,1.4750295925,1.363194985,1.853173438,0.4746427395,0.0605765185,0.484723854,0.143936656,1.349405662,1.0086184645,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sp2diverging_Sp1chasing2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp1_extinct
1968,1,0.925,0.35,0,1e-04,0.29167,0.023,13,12,0,0,0,1,0,Sp1_extinct,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp1_extinct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp1_extinct
